13# Special techniques for use when population parameters and population distributions are unknown#13.9.2#Friedman test Page 715#Ex13_9_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.9.2/Ex13_9_2.R#S##6653
11#Additional techniques for the analysis of relationships among variables#11.4.2#Logistic regression page 573#Ex11_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH11/EX11.4.2/Ex11_4_2.R#S##7103
11#Additional techniques for the analysis of relationships among variables#11.4.1#Logistic regression page 572#Ex11_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH11/EX11.4.1/Ex11_4_1.R#S##7106
11#Additional techniques for the analysis of relationships among variables#11.3.1#Stepwise regression model Page 561#Ex11_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH11/EX11.3.1/Ex11_3_1.R#S##6638
11#Additional techniques for the analysis of relationships among variables#11.2.2#Test for model parameter for categorical data#Ex11_2_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH11/EX11.2.2/Ex11_2_2.R#S##7108
11#Additional techniques for the analysis of relationships among variables#11.2.1#Regression model for categorical data Page 545#Ex11_2_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH11/EX11.2.1/Ex11_2_1.R#S##7109
11#Additional techniques for the analysis of relationships among variables#11.1.2#Correlation for 3 variables Page 542#Ex11_1_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH11/EX11.1.2/Ex11_1_2.R#S##7110
11#Additional techniques for the analysis of relationships among variables#11.1.1#Box and whiskers plot#Ex11_1_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH11/EX11.1.1/Ex11_1_1.R#S##7107
10# Statistical inference and the relationships among three or more variables#10.6.2#Partial correlation coefficient Page 515#Ex10_6_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH10/EX10.6.2/Ex10_6_2.R#S##6618
10# Statistical inference and the relationships among three or more variables#10.6.1#Multiple correlation coefficient Page 511#Ex10_6_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH10/EX10.6.1/Ex10_6_1.R#S##6619
10# Statistical inference and the relationships among three or more variables#10.5.1#confidence interval for CDA Page 508#Ex10_5_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH10/EX10.5.1/Ex10_5_1.R#S##6620
10# Statistical inference and the relationships among three or more variables#10.4.3#Test for parameter of variable Age Page 505#Ex10_4_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH10/EX10.4.3/Ex10_4_3.R#S##6621
10# Statistical inference and the relationships among three or more variables#10.4.2#Test for parameters Page 504#Ex10_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH10/EX10.4.2/Ex10_4_2.R#S##6622
10# Statistical inference and the relationships among three or more variables#10.4.1#Coefficient of multiple determination Page 502#Ex10_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH10/EX10.4.1/Ex10_4_1.R#S##6623
10# Statistical inference and the relationships among three or more variables#10.3.1#Multiple regression equation Page 493#Ex10_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH10/EX10.3.1/Ex10_3_1.R#S##6624
9# Statistical inference and the relationship between two variables#9.7.2#Correlation test Page 452#Ex9_7_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH9/EX9.7.2/Ex9_7_2.R#S##6625
9# Statistical inference and the relationship between two variables#9.7.1#Correlation and linear regression model Page 447#Ex9_7_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH9/EX9.7.1/Ex9_7_1.R#S##6626
9# Statistical inference and the relationship between two variables#9.4.3#Linear regression model  Residual plot Page 440#Ex9_4_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH9/EX9.4.3/Ex9_4_3.R#S##6627
9# Statistical inference and the relationship between two variables#9.4.2#Linear regression model  Test for slope Page 436#Ex9_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH9/EX9.4.2/Ex9_4_2.R#S##6628
9# Statistical inference and the relationship between two variables#9.4.1#Linear regression model  Coefficient of determination Page 432#Ex9_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH9/EX9.4.1/Ex9_4_1.R#S##6629
9# Statistical inference and the relationship between two variables#9.3.1#Linear regression model Page 417#Ex9_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH9/EX9.3.1/Ex9_3_1.R#S##6630
8# Statistical inference and the analysis of data variability#8.3.1#Ranadomized Block Design  Two way ANOVA Page 339#Ex8_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH8/EX8.3.1/Ex8_3_1.R#S##6631
8# Statistical inference and the analysis of data variability#8.2.2#One way ANOVA and Tukeys HSD Page 325#Ex8_2_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH8/EX8.2.2/Ex8_2_2.R#S##6632
8# Statistical inference and the analysis of data variability#8.2.1#One way ANOVA Page 318#Ex8_2_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH8/EX8.2.1/Ex8_2_1.R#S##6633
7# Using sample statistics to test hypothesis about population parameters#7.8.2#Test for ratio of two population variances Page 270#Ex7_8_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.8.2/Ex7_8_2.R#S##6617
7# Using sample statistics to test hypothesis about population parameters#7.8.1#Test for ratio of two population variances Page 268#Ex7_8_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.8.1/Ex7_8_1.R#S##6616
7# Using sample statistics to test hypothesis about population parameters#7.7.1#Test for single population variance Page 264#Ex7_7_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.7.1/Ex7_7_1.R#S##6615
7# Using sample statistics to test hypothesis about population parameters#7.6.1#Test for two proportions Page 261#Ex7_6_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.6.1/Ex7_6_1.R#S##6614
7# Using sample statistics to test hypothesis about population parameters#7.5.1#Test for proportions  Page 258#Ex7_5_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.5.1/Ex7_5_1.R#S##6613
7# Using sample statistics to test hypothesis about population parameters#7.4.1#Paired t test  Page 251#Ex7_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.4.1/Ex7_4_1.R#S##6612
7# Using sample statistics to test hypothesis about population parameters#7.3.4#Test for two means when population variances are known Page 242#Ex7_3_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.3.4/Ex7_3_4.R#S##6611
7# Using sample statistics to test hypothesis about population parameters#7.3.3#Test for means when population variances are unknown Page 240#Ex7_3_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.3.3/Ex7_3_3.R#S##6610
7# Using sample statistics to test hypothesis about population parameters#7.3.2#Test for means when population variances are unknown Page 239#Ex7_3_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.3.2/Ex7_3_2.R#S##6609
7# Using sample statistics to test hypothesis about population parameters#7.3.1#Test for two means when population variances are known Page 237#Ex7_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.3.1/Ex7_3_1.R#S##6608
7# Using sample statistics to test hypothesis about population parameters#7.2.5#Test for mean when population variances are unknown Page 232#Ex7_2_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.2.5/Ex7_2_5.R#S##6607
7# Using sample statistics to test hypothesis about population parameters#7.2.4#Test for mean when population variances are known Page 231#Ex7_2_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.2.4/Ex7_2_4.R#S##6606
7# Using sample statistics to test hypothesis about population parameters#7.2.3#Test for mean when population variances are unknown Page 228#Ex7_2_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.2.3/Ex7_2_3.R#S##6605
7# Using sample statistics to test hypothesis about population parameters#7.2.2#Test for mean when population variances are known Page 226#Ex7_2_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.2.2/Ex7_2_2.R#S##6604
7# Using sample statistics to test hypothesis about population parameters#7.2.1#Test for mean when population variances are known Page 222#Ex7_2_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH7/EX7.2.1/Ex7_2_1.R#S##6603
6# Using sample data to make estimates about population parameters#6.9.1#Chi square test Page 196#Ex6_9_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.9.1/Ex6_9_1.R#S##6589
6# Using sample data to make estimates about population parameters#6.8.1#Determine the sample size n Page 192#Ex6_8_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.8.1/Ex6_8_1.R#S##6590
6# Using sample data to make estimates about population parameters#6.7.1#Determine the sample size n Page 190#Ex6_7_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.7.1/Ex6_7_1.R#S##6591
6# Using sample data to make estimates about population parameters#6.6.1#Confidence interval for two population proportions Page 187#Ex6_6_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.6.1/Ex6_6_1.R#S##6592
6# Using sample data to make estimates about population parameters#6.5.1#Confidence interval for population proportion Page 185#Ex6_5_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.5.1/Ex6_5_1.R#S##6593
6# Using sample data to make estimates about population parameters#6.4.4#Confidence interval for two means  T test Page 181#Ex6_4_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.4.4/Ex6_4_4.R#S##6594
6# Using sample data to make estimates about population parameters#6.4.3#Confidence interval for two means  T test Page 180#Ex6_4_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.4.3/Ex6_4_3.R#S##6595
6# Using sample data to make estimates about population parameters#6.4.2#Confidence interval for two means  Z test Page 178#Ex6_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.4.2/Ex6_4_2.R#S##6596
6# Using sample data to make estimates about population parameters#6.4.1#Confidence interval for two means  Z test Page 177#Ex6_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.4.1/Ex6_4_1.R#S##6597
6# Using sample data to make estimates about population parameters#6.3.1#Confidence interval for mean  T test Page 173#Ex6_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.3.1/Ex6_3_1.R#S##6598
6# Using sample data to make estimates about population parameters#6.2.4#Confidence interval for population mean mu Page 169#Ex6_2_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.2.4/Ex6_2_4.R#S##6599
6# Using sample data to make estimates about population parameters#6.2.3#Confidence interval for population mean mu Page 168#Ex6_2_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.2.3/Ex6_2_3.R#S##6600
6# Using sample data to make estimates about population parameters#6.2.2#Confidence interval for population mean mu Page 168#Ex6_2_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.2.2/Ex6_2_2.R#S##6601
6# Using sample data to make estimates about population parameters#6.2.1#Confidence interval for population mean mu Page 166#Ex6_2_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.2.1/Ex6_2_1.R#S##6602
6# Using sample data to make estimates about population parameters#6.10.1#F test Page 200#Ex6_10_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH6/EX6.10.1/Ex6_10_1.R#S##6588
5# Probabilisitc features of the distributions of certain sample statistics#5.6.2#Sampling distribution of Two Proportions Page 155#Ex5_6_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH5/EX5.6.2/Ex5_6_2.R#S##6581
5# Probabilisitc features of the distributions of certain sample statistics#5.6.1#Sampling distribution of Two Proportions Page 155#Ex5_6_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH5/EX5.6.1/Ex5_6_1.R#S##6582
5# Probabilisitc features of the distributions of certain sample statistics#5.5.2#Sampling distribution of Proportion Page 152#Ex5_5_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH5/EX5.5.2/Ex5_5_2.R#S##6583
5# Probabilisitc features of the distributions of certain sample statistics#5.4.2#Sampling distribution of two means  Page 148#Ex5_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH5/EX5.4.2/Ex5_4_2.R#S##6584
5# Probabilisitc features of the distributions of certain sample statistics#5.4.1#Sampling distribution of two means  Page 145#Ex5_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH5/EX5.4.1/Ex5_4_1.R#S##6585
5# Probabilisitc features of the distributions of certain sample statistics#5.3.3#Sampling distribution of mean Page 143#Ex5_3_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH5/EX5.3.3/Ex5_3_3.R#S##6586
5# Probabilisitc features of the distributions of certain sample statistics#5.3.2#Sampling distribution of mean Page 142#Ex5_3_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH5/EX5.3.2/Ex5_3_2.R#S##6587
4# Probabilistic features of certain data distributions#4.7.3#Normal distribution Page 126#Ex4_7_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.7.3/Ex4_7_3.R#S##6556
4# Probabilistic features of certain data distributions#4.7.2#Normal distribution Page 125#Ex4_7_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.7.2/Ex4_7_2.R#S##6557
4# Probabilistic features of certain data distributions#4.7.1#Normal distribution Page 123#Ex4_7_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.7.1/Ex4_7_1.R#S##6558
4# Probabilistic features of certain data distributions#4.6.5#Standard normal distribution Page 122#Ex4_6_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.6.5/Ex4_6_5.R#S##6559
4# Probabilistic features of certain data distributions#4.6.4#Standard Normal Distribution Page 121#Ex4_6_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.6.4/Ex4_6_4.R#S##6560
4# Probabilistic features of certain data distributions#4.6.3#Standard Normal Distribution Page 121#Ex4_6_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.6.3/Ex4_6_3.R#S##6561
4# Probabilistic features of certain data distributions#4.6.2#Standard Normal Distribution Page 120#Ex4_6_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.6.2/Ex4_6_2.R#S##6562
4# Probabilistic features of certain data distributions#4.6.1#Standard Normal Distribution Page 119#Ex4_6_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.6.1/Ex4_6_1.R#S##6563
4# Probabilistic features of certain data distributions#4.4.5#Poisson distribution Page 112#Ex4_4_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.4.5/Ex4_4_5.R#S##6564
4# Probabilistic features of certain data distributions#4.4.4#Poisson distribution Page 111#Ex4_4_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.4.4/Ex4_4_4.R#S##6565
4# Probabilistic features of certain data distributions#4.4.3#Poisson distribution Page 110#Ex4_4_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.4.3/Ex4_4_3.R#S##6566
4# Probabilistic features of certain data distributions#4.4.2#Poisson distribution Page 110#Ex4_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.4.2/Ex4_4_2.R#S##6567
4# Probabilistic features of certain data distributions#4.4.1#Poisson distribution Page 110#Ex4_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.4.1/Ex4_4_1.R#S##6568
4# Probabilistic features of certain data distributions#4.3.4#Binomial probabilities Page 105#Ex4_3_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.3.4/Ex4_3_4.R#S##6569
4# Probabilistic features of certain data distributions#4.3.3#Binomial probabilities Page 103#Ex4_3_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.3.3/Ex4_3_3.R#S##6570
4# Probabilistic features of certain data distributions#4.3.2#Binomial probability distribution Page 103#Ex4_3_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.3.2/Ex4_3_2.R#S##6571
